Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v2.x,
C1,CP_Radial_D5.0mm_P2.50mm,1,68uF,
C2,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,330pF,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
L1,L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1,1,33uH,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,110K,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10K,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,180R,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,0.39R,
"R5, R6",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,120R,
"TUBE1, TUBE2",IV-3_VFD,2,IV-3,
U1,DIP-8_W7.62mm,1,MC34063API,
"U2, U3",DIP-16_W7.62mm,2,74HC595,
"U4, U5",DIP-18_W7.62mm,2,UDN2981A,
